id	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
1039	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0705
1041	0.0305	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.1105	0.1105
1043	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.1105
1045	0.0705	0.0705	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105
1047	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0705	0.0705
1049	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305
1051	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705
1053	0.1305	0.1305	0.1305	0.1505	0.1505	0.1505	0.1705	0.1705	0.1905	0.1905	0.2205	0.2205	0.2205
1055	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305	0.1305	0.1505	0.1505
1057	0.0705	0.0705	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1305	0.1305	0.1505	0.1505	0.1705
1059	0.0905	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305	0.1505	0.1505	0.1705	0.1705	0.1905	0.1905
1061	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905
1063	0.01	0.01	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705
1065	0.01	0.01	0.01	0.0305	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505
1067	0.0305	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.1105
1069	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.0905	0.1105
1071	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.0905	0.1105
1073	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305	0.1305	0.1505
1075	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.1105	0.1105	0.1305	0.1305
1077	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905
1079	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305
1081	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705
1083	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0705	0.0705
1085	0.01	0.01	0.01	0.01	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505
1087	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705
1089	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0705
1091	0.01	0.01	0.0305	0.0305	0.0305	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505
1093	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705
1095	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1305	0.1305
1097	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305	0.1505	0.1505
1099	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905
1101	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705
1103	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305	0.1505	0.1505
1105	0.01	0.01	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705
1107	0.0505	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1305	0.1305
1109	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0905
1111	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1105	0.1305
1113	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1105	0.1305
1115	0.0905	0.0905	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305	0.1505	0.1505	0.1505	0.1705	0.1705
